segment_type,segment_value,listing_count,empirical_coverage,average_interval_width,median_interval_width,mae,median_absolute_error,potentially_underpriced_count,potentially_overpriced_count,nominal_coverage,coverage_gap,underpriced_rate,overpriced_rate
vehicle_age_band,16-20 years,5451,0.9557879288204,11765.858586086424,11773.762863083914,2085.8512961296206,1244.0534369324068,75,166,0.9,0.05578792882039996,0.01375894331315355,0.030453127866446522
vehicle_age_band,11-15 years,9055,0.9581446714522364,12805.883339272848,13769.133163224373,2163.6878257309595,1297.7884051622968,166,213,0.9,0.05814467145223634,0.018332413031474322,0.023522915516289343
mileage_band,Under 25k,4780,0.7060669456066946,13792.72200759876,13963.332709090158,7465.450899149757,3863.1565925284413,624,781,0.9,-0.19393305439330544,0.1305439330543933,0.16338912133891215
mileage_band,25k-50k,4795,0.7924921793534933,13931.284626300436,13963.332709090158,5403.8024259005315,2820.7956463019655,366,629,0.9,-0.10750782064650677,0.07632950990615224,0.13117831074035455
mileage_band,50k-100k,10481,0.8573609388417136,13746.43904253893,13963.332709090158,3872.425149686068,2195.624015064146,570,925,0.9,-0.04263906115828642,0.05438412365232325,0.08825493750596317
mileage_band,100k-150k,11215,0.9318769505127062,13166.027538494323,13963.332709090158,2533.3105782142757,1557.5633761880165,357,407,0.9,0.031876950512706226,0.03183236736513598,0.03629068212215782
mileage_band,150k-200k,7068,0.9613752122241087,12324.036924809658,12837.364058928204,2100.6679470262798,1237.3016519773007,76,197,0.9,0.06137521222410869,0.010752688172043012,0.02787209960384833
mileage_band,200k+,3407,0.9624302905782213,11646.763932117463,11706.461430283402,2008.2067567104439,1259.3698583613332,47,81,0.9,0.06243029057822125,0.013795127678309363,0.023774581743469327
manufacturer,tesla,112,0.38392857142857145,13963.332709090158,13963.332709090158,8519.504243915768,8612.561085320478,54,15,0.9,-0.5160714285714285,0.48214285714285715,0.13392857142857142
manufacturer,porsche,210,0.5476190476190477,13963.332709090158,13963.332709090158,14830.856194099179,6821.994895518172,20,75,0.9,-0.35238095238095235,0.09523809523809523,0.35714285714285715
manufacturer,rover,239,0.6443514644351465,13818.269495788727,13963.332709090158,9208.107140786038,3632.395498011938,21,64,0.9,-0.25564853556485356,0.08786610878661087,0.26778242677824265
manufacturer,ram,1410,0.7702127659574468,13724.095432686989,13963.332709090158,5774.795160065995,3587.6394669748615,154,170,0.9,-0.1297872340425532,0.10921985815602837,0.12056737588652482
manufacturer,gmc,1628,0.812039312039312,13539.819010924642,13963.332709090158,4836.6616994479455,3048.6350108862543,93,213,0.9,-0.08796068796068801,0.057125307125307126,0.13083538083538085
manufacturer,mercedes-benz,1210,0.8231404958677686,13603.555132865318,13963.332709090158,5493.372479588657,2385.452600696828,85,129,0.9,-0.07685950413223142,0.07024793388429752,0.10661157024793388
manufacturer,ford,7025,0.8293238434163701,13333.872286253309,13963.332709090158,4347.661718321202,2340.7865782706904,480,719,0.9,-0.07067615658362991,0.06832740213523132,0.10234875444839858
manufacturer,jaguar,157,0.8343949044585988,13555.17824023881,13963.332709090158,4206.484888259622,2631.881344642592,12,14,0.9,-0.06560509554140126,0.07643312101910828,0.08917197452229299
manufacturer,pontiac,304,0.8486842105263158,11625.767879952009,11272.885531420026,3350.8329964403774,1227.1341141646299,9,37,0.9,-0.051315789473684204,0.029605263157894735,0.12171052631578948
manufacturer,chevrolet,5519,0.8537778583076644,13279.58728918277,13963.332709090158,4113.6864172376145,2159.8164205240755,322,485,0.9,-0.04622214169233563,0.05834390288095669,0.08787823881137888
manufacturer,cadillac,600,0.8633333333333333,13281.583347890974,13963.332709090158,4291.295643101424,2024.5397813864329,17,65,0.9,-0.036666666666666736,0.028333333333333332,0.10833333333333334
manufacturer,audi,689,0.8693759071117562,13687.75683219447,13963.332709090158,4088.978484396278,2308.257263566107,47,43,0.9,-0.03062409288824386,0.06821480406386067,0.062409288824383166
manufacturer,dodge,1336,0.8712574850299402,12929.056162075365,13963.332709090158,3678.159608185332,1901.747859401883,67,105,0.9,-0.028742514970059863,0.050149700598802395,0.07859281437125748
manufacturer,jeep,1745,0.8779369627507163,13361.845957327012,13963.332709090158,3547.7928257514277,2028.8023417450624,100,113,0.9,-0.022063037249283712,0.05730659025787966,0.06475644699140401
manufacturer,bmw,1356,0.883480825958702,13519.617074657566,13963.332709090158,3589.5702211728326,2039.8916586271243,65,93,0.9,-0.01651917404129799,0.04793510324483776,0.06858407079646017
manufacturer,lexus,828,0.892512077294686,13550.286759338776,13963.332709090158,3165.732590810776,1706.6786148686615,31,58,0.9,-0.007487922705314065,0.03743961352657005,0.07004830917874397
manufacturer,volvo,357,0.9019607843137255,12494.087242312893,13615.408404928565,3469.5192548520126,1478.5092854292925,10,25,0.9,0.0019607843137254832,0.028011204481792718,0.0700280112044818
manufacturer,toyota,4065,0.9107011070110701,13127.662949418072,13963.332709090158,3062.762612049315,1617.430671290802,137,226,0.9,0.010701107011070077,0.033702337023370235,0.05559655596555966
manufacturer,volkswagen,1050,0.9304761904761905,13014.877334415944,13963.332709090158,2604.081615051049,1661.2520372018707,25,48,0.9,0.030476190476190435,0.023809523809523808,0.045714285714285714
manufacturer,mini,248,0.9314516129032258,13180.53582703319,13963.332709090158,2291.2319217372246,1506.029342864852,3,14,0.9,0.031451612903225734,0.012096774193548387,0.056451612903225805
manufacturer,mitsubishi,268,0.9365671641791045,12676.298996163388,13963.332709090158,2485.121325395651,1546.8906283835695,6,11,0.9,0.03656716417910444,0.022388059701492536,0.041044776119402986
manufacturer,infiniti,414,0.9371980676328503,13608.976556653937,13963.332709090158,2662.6196143538805,1818.9226088846735,20,6,0.9,0.037198067632850274,0.04830917874396135,0.014492753623188406
manufacturer,kia,851,0.9377203290246768,13315.560488442597,13963.332709090158,2130.321278240631,1213.7663533356117,36,17,0.9,0.03772032902467681,0.04230317273795535,0.0199764982373678
manufacturer,acura,466,0.9399141630901288,13087.037003220927,13963.332709090158,2927.715292477636,1385.721196072871,16,12,0.9,0.03991416309012874,0.034334763948497854,0.02575107296137339
manufacturer,buick,554,0.9404332129963899,12620.960115887887,13963.332709090157,2430.4509573837026,1302.9562004864683,17,16,0.9,0.04043321299638991,0.030685920577617327,0.02888086642599278
manufacturer,lincoln,358,0.9413407821229051,13299.125553662296,13963.332709090158,3267.050616636631,1753.2510468527944,5,16,0.9,0.04134078212290504,0.013966480446927373,0.0446927374301676
manufacturer,subaru,1159,0.9421915444348576,13195.820761021405,13963.332709090158,2387.0679118583757,1544.3439103859637,14,53,0.9,0.04219154443485762,0.012079378774805867,0.0457290767903365
manufacturer,hyundai,1085,0.9474654377880184,13107.594527790494,13963.332709090158,2261.0882787755713,1444.506426176158,30,27,0.9,0.04746543778801837,0.027649769585253458,0.02488479262672811
manufacturer,nissan,2101,0.9490718705378391,12987.61937675749,13963.332709090158,2401.2544390470507,1492.955781690118,62,45,0.9,0.049071870537839124,0.029509757258448358,0.021418372203712517
manufacturer,chrysler,650,0.9523076923076923,12586.93868619371,13963.332709090157,2502.9315818922355,1411.8831290085293,10,21,0.9,0.05230769230769228,0.015384615384615385,0.03230769230769231
manufacturer,mazda,618,0.9611650485436893,12721.815416236499,13963.332709090157,2007.2345369331122,1282.0862347472203,11,13,0.9,0.061165048543689315,0.01779935275080906,0.021035598705501618
manufacturer,honda,2699,0.9633197480548351,12759.486840165862,13963.332709090158,1891.249665898695,1141.6402511878205,40,59,0.9,0.06331974805483509,0.014820303816228233,0.021859948128936643
manufacturer,mercury,132,0.9772727272727273,11146.796130966832,11092.763739809016,1445.4074450655507,815.0701232864685,1,2,0.9,0.07727272727272727,0.007575757575757576,0.015151515151515152
manufacturer,saturn,153,0.9934640522875817,10736.498501742459,10723.659529600309,1229.0746003291817,925.8896022966346,0,1,0.9,0.0934640522875817,0.0,0.006535947712418301
type,truck,2927,0.8141441749231295,13616.16932762768,13963.332709090158,4955.481972897512,2924.319757249501,234,310,0.9,-0.0858558250768705,0.07994533652203621,0.1059104885548343
type,other,1529,0.8273381294964028,13804.276366376262,13963.332709090158,4683.252215288665,2843.8910399737433,100,164,0.9,-0.07266187050359718,0.06540222367560497,0.10725964682799215
type,convertible,754,0.8315649867374005,13492.431650765482,13963.332709090158,4992.55747936896,2290.0692680956417,49,78,0.9,-0.06843501326259949,0.0649867374005305,0.10344827586206896
type,pickup,3187,0.8318167555695011,13628.287354861499,13963.332709090158,4337.71595118558,2928.0903223733476,200,336,0.9,-0.06818324443049895,0.06275494195167869,0.10542830247882021
type,coupe,1653,0.8324258923169994,13252.780999028872,13963.332709090158,5186.975972876519,2307.1715825940755,97,180,0.9,-0.06757410768300065,0.05868118572292801,0.1088929219600726
type,van,1034,0.8413926499032882,13454.258438078112,13963.332709090158,3925.195528135344,2245.652617103451,35,129,0.9,-0.05860735009671181,0.033849129593810444,0.12475822050290135
type,unknown,11532,0.850936524453694,12967.765341008178,13963.332709090158,4146.678712381644,1971.929803513959,735,984,0.9,-0.04906347554630597,0.06373569198751301,0.08532778355879292
type,suv,7233,0.8985206691552606,13369.49575161216,13963.332709090158,3381.0424877700434,1723.545079344065,274,460,0.9,-0.0014793308447393905,0.03788193004285912,0.06359740080188027
type,wagon,962,0.9334719334719335,13235.806389466217,13963.332709090158,2825.3683211983566,1507.7129891768782,24,40,0.9,0.033471933471933446,0.02494802494802495,0.04158004158004158
type,sedan,8594,0.939725389806842,12972.669418893624,13963.332709090158,2333.184813948136,1337.8531532729367,263,255,0.9,0.039725389806841926,0.03060274610193158,0.02967186409122644
type,hatchback,1616,0.9523514851485149,13159.114934938598,13963.332709090158,2231.8040218597275,1467.251919240548,19,58,0.9,0.05235148514851484,0.011757425742574257,0.03589108910891089
